date,scraped_at,product_id,name,brand,price_cents,in_stock,url,status
2026-01-09,2026-01-09T17:56:38,955411,JBL JR470NC Roze,JBL,6600,True,https://www.coolblue.nl/product/955411/jbl-jr470nc-roze.html,ok
2026-01-09,2026-01-09T17:56:43,947608,Soundcore Space One Crème,Soundcore by Anker,8100,True,https://www.coolblue.nl/product/947608/soundcore-space-one-creme.html,ok
2026-01-09,2026-01-09T17:56:47,952360,Sony WH-1000XM5 Roze,Sony,26900,True,https://www.coolblue.nl/product/952360/sony-wh-1000xm5-roze.html,ok
2026-01-09,2026-01-09T17:56:53,795776,Pioneer DJ HDJ-X7 Zwart,Pioneer,16900,True,https://www.coolblue.nl/product/795776/pioneer-dj-hdj-x7-zwart.html,ok
2026-01-09,2026-01-09T17:56:58,960368,JBL Tour One M3 Smart TX Goud,JBL,26900,True,https://www.coolblue.nl/product/960368/jbl-tour-one-m3-smart-tx-goud.html,ok
2026-01-09,2026-01-09T17:57:04,822119,Pioneer HDJ-X5BT Zwart,Pioneer,15600,True,https://www.coolblue.nl/product/822119/pioneer-hdj-x5bt-zwart.html,ok
2026-01-09,2026-01-09T17:57:09,930305,JBL Tune 670NC Zwart,JBL,7200,True,https://www.coolblue.nl/product/930305/jbl-tune-670nc-zwart.html,ok
2026-01-09,2026-01-09T17:57:14,966502,Nothing Headphone (1) Wit,Nothing Tech,25400,True,https://www.coolblue.nl/product/966502/nothing-headphone-1-wit.html,ok
2026-01-09,2026-01-09T17:57:18,955410,JBL JR470NC Blauw,JBL,6600,True,https://www.coolblue.nl/product/955410/jbl-jr470nc-blauw.html,ok
2026-01-09,2026-01-09T17:57:23,936948,Bowers & Wilkins Px7 S2e Zwart,Bowers & Wilkins,27800,True,https://www.coolblue.nl/product/936948/bowers-wilkins-px7-s2e-zwart.html,ok
2026-01-09,2026-01-09T17:57:28,972753,Bowers & Wilkins Px7 S3 Lichtblauw,Bowers & Wilkins,34900,True,https://www.coolblue.nl/product/972753/bowers-wilkins-px7-s3-lichtblauw.html,ok
2026-01-09,2026-01-09T17:57:32,911913,Sennheiser Momentum 4 Wireless Wit,Sennheiser,25100,True,https://www.coolblue.nl/product/911913/sennheiser-momentum-4-wireless-wit.html,ok
2026-01-09,2026-01-09T17:57:35,930310,JBL Tune 770NC Wit,JBL,8800,True,https://www.coolblue.nl/product/930310/jbl-tune-770nc-wit.html,ok
2026-01-09,2026-01-09T17:57:40,934401,JBL Live 770NC Wit,JBL,11200,True,https://www.coolblue.nl/product/934401/jbl-live-770nc-wit.html,ok
2026-01-09,2026-01-09T17:57:45,972186,JBL Tune 730BT Zwart,JBL,8000,True,https://www.coolblue.nl/product/972186/jbl-tune-730bt-zwart.html,ok
2026-01-09,2026-01-09T17:57:51,961914,Soundcore Space One Pro Wit,Soundcore by Anker,20000,True,https://www.coolblue.nl/product/961914/soundcore-space-one-pro-wit.html,ok
2026-01-09,2026-01-09T17:57:56,961913,Soundcore Space One Pro Zwart,Soundcore by Anker,20000,True,https://www.coolblue.nl/product/961913/soundcore-space-one-pro-zwart.html,ok
2026-01-09,2026-01-09T17:58:00,964476,Soundcore Space One Roze,Soundcore by Anker,10000,True,https://www.coolblue.nl/product/964476/soundcore-space-one-roze.html,ok
2026-01-09,2026-01-09T17:58:05,963645,Bowers & Wilkins Px7 S3 Blauw,Bowers & Wilkins,35900,True,https://www.coolblue.nl/product/963645/bowers-wilkins-px7-s3-blauw.html,ok
2026-01-09,2026-01-09T17:58:10,546187,Sennheiser RS 175,Sennheiser,20600,True,https://www.coolblue.nl/product/546187/sennheiser-rs-175.html,ok
2026-01-09,2026-01-09T17:58:14,947609,Soundcore Space One Blauw,Soundcore by Anker,10000,True,https://www.coolblue.nl/product/947609/soundcore-space-one-blauw.html,ok
2026-01-09,2026-01-09T17:58:18,735835,Sennheiser HD 599,Sennheiser,16700,True,https://www.coolblue.nl/product/735835/sennheiser-hd-599.html,ok
2026-01-09,2026-01-09T17:58:23,959897,JBL Tour One M3 Goud,JBL,26400,True,https://www.coolblue.nl/product/959897/jbl-tour-one-m3-goud.html,ok
2026-01-09,2026-01-09T17:58:27,973132,Fairphone Fairbuds XL Zwart,Fairphone,24500,True,https://www.coolblue.nl/product/973132/fairphone-fairbuds-xl-zwart.html,ok
2026-01-09,2026-01-09T17:58:32,955103,Bowers & Wilkins Px7 S2e Rood,Bowers & Wilkins,27800,True,https://www.coolblue.nl/product/955103/bowers-wilkins-px7-s2e-rood.html,ok
2026-01-09,2026-01-09T17:58:36,934402,JBL Live 770NC Blauw,JBL,11300,False,https://www.coolblue.nl/product/934402/jbl-live-770nc-blauw.html,ok
2026-01-09,2026-01-09T17:58:39,964867,JBL Tune 520C USB-C Zwart,JBL,3399,True,https://www.coolblue.nl/product/964867/jbl-tune-520c-usb-c-zwart.html,ok
2026-01-09,2026-01-09T17:58:44,936950,Bowers & Wilkins Px7 S2e Groen,Bowers & Wilkins,27800,True,https://www.coolblue.nl/product/936950/bowers-wilkins-px7-s2e-groen.html,ok
2026-01-09,2026-01-09T17:58:49,972172,JBL Tune 780NC Blauw,JBL,12900,True,https://www.coolblue.nl/product/972172/jbl-tune-780nc-blauw.html,ok
2026-01-09,2026-01-09T17:58:53,878995,Marshall Major IV Zwart,Marshall,9100,True,https://www.coolblue.nl/product/878995/marshall-major-iv-zwart.html,ok
2026-01-09,2026-01-09T17:58:58,934189,Beats Studio Pro Crème,Beats,29700,True,https://www.coolblue.nl/product/934189/beats-studio-pro-creme.html,ok
2026-01-09,2026-01-09T17:59:03,923638,Sony WH-CH520 Crème,Sony,4499,True,https://www.coolblue.nl/product/923638/sony-wh-ch520-creme.html,ok
2026-01-09,2026-01-09T17:59:07,951324,Sennheiser HD620S,Sennheiser,28500,True,https://www.coolblue.nl/product/951324/sennheiser-hd620s.html,ok
2026-01-09,2026-01-09T17:59:12,923310,JBL Tune 720BT Zwart,JBL,6400,False,https://www.coolblue.nl/product/923310/jbl-tune-720bt-zwart.html,ok
2026-01-09,2026-01-09T17:59:17,972173,JBL Tune 780NC Wit,JBL,12900,True,https://www.coolblue.nl/product/972173/jbl-tune-780nc-wit.html,ok
2026-01-09,2026-01-09T17:59:21,454311,Sony MDR-ZX310AP Zwart,Sony,2599,True,https://www.coolblue.nl/product/454311/sony-mdr-zx310ap-zwart.html,ok
2026-01-09,2026-01-09T17:59:27,923313,JBL Tune 720BT Wit,JBL,6200,True,https://www.coolblue.nl/product/923313/jbl-tune-720bt-wit.html,ok
2026-01-09,2026-01-09T17:59:32,930306,JBL Tune 670NC Wit,JBL,6900,True,https://www.coolblue.nl/product/930306/jbl-tune-670nc-wit.html,ok
2026-01-09,2026-01-09T17:59:36,923636,Sony WH-CH520 Zwart,Sony,4699,True,https://www.coolblue.nl/product/923636/sony-wh-ch520-zwart.html,ok
2026-01-09,2026-01-09T17:59:40,972179,JBL Tune 530BT Paars,JBL,6000,True,https://www.coolblue.nl/product/972179/jbl-tune-530bt-paars.html,ok
2026-01-09,2026-01-09T17:59:45,935496,Bowers & Wilkins Px8 McLaren,Bowers & Wilkins,66200,True,https://www.coolblue.nl/product/935496/bowers-wilkins-px8-mclaren.html,ok
2026-01-09,2026-01-09T17:59:50,936951,Bowers & Wilkins Px7 S2e Grijs,Bowers & Wilkins,27800,True,https://www.coolblue.nl/product/936951/bowers-wilkins-px7-s2e-grijs.html,ok
